iter	Accuracy	Logloss
0	0.8130611538	0.6283381695
1	0.8679183828	0.5760469097
2	0.8667925816	0.531730573
3	0.8782273739	0.4961401902
4	0.88071158	0.4651437325
5	0.8879874201	0.4425693483
6	0.8841634171	0.4214912175
7	0.8919230726	0.4082701633
8	0.8934024313	0.3965192258
9	0.893774597	0.3781346252
10	0.8974869501	0.3660596893
11	0.9011062618	0.3525064153
12	0.9151183024	0.3457241508
13	0.9145321413	0.336695082
14	0.9193330792	0.3281689487
15	0.9229058701	0.3176920751
16	0.9238176762	0.3103486735
17	0.9252970349	0.3056513629
18	0.9283953145	0.2990346056
19	0.9315308108	0.2934073342
20	0.9316238521	0.2865497949
21	0.9315401148	0.2796802199
22	0.9330194736	0.2737225804
23	0.9345825697	0.2692285303
24	0.9343034454	0.2648351056
25	0.9359595829	0.2604054059
26	0.9362573155	0.2568788209
27	0.9386205678	0.252064958
28	0.9375691997	0.2491508746
29	0.9406953918	0.2458254259
30	0.941039645	0.2409199627
31	0.9408721705	0.2375755484
32	0.9414211149	0.2347730029
33	0.9435889802	0.2318943136
34	0.9461197071	0.2289554876
35	0.9465197853	0.2257889928
36	0.9475060244	0.2217915825
37	0.9471152504	0.2195943424
38	0.9483713098	0.2159981352
39	0.9495436318	0.2138604127
40	0.9504182212	0.2114175376
41	0.9506229124	0.207234199
42	0.9512555941	0.2046320495
43	0.9517208012	0.2024534677
44	0.9514416769	0.2001639633
45	0.9527721694	0.1981077809
46	0.9529954689	0.1965868998
47	0.9543166572	0.1946048922
48	0.9549679472	0.192783728
49	0.955730887	0.190705171
50	0.9555075875	0.1885770197
51	0.9567357344	0.1864715063
52	0.957228854	0.1851414354
53	0.9573870244	0.1834640603
54	0.9576010197	0.1815913029
55	0.9599735761	0.1797877196
56	0.9603457418	0.1777156389
57	0.9612575479	0.1766633541
58	0.9616018012	0.1750719104
59	0.9620577042	0.1734838888
60	0.9628020356	0.1718313534
61	0.9628299481	0.1702997884
62	0.9639092287	0.169031769
63	0.9635742795	0.1675515394
64	0.962104225	0.1662530538
65	0.964969901	0.1647916274
66	0.965556062	0.1631884786
67	0.9642906986	0.1622194248
68	0.9642069613	0.161137836
69	0.9651838963	0.1599802293
70	0.9654351082	0.1588720091
71	0.9655653662	0.157713417
72	0.9656304952	0.1567432803
73	0.9660584858	0.1556806803
74	0.9662724811	0.1546453078
75	0.9670354208	0.1535533452
76	0.9673145451	0.1527758913
77	0.9675564529	0.1520324266
78	0.9677425357	0.1509897204
79	0.9673145451	0.1502952921
80	0.9676774067	0.1493563265
81	0.9678076647	0.1486121307
82	0.968477563	0.1476473372
83	0.968607821	0.1467856963
84	0.9693335442	0.1458607242
85	0.9696126685	0.1450167608
86	0.9697057099	0.1439569756
87	0.9702639585	0.1429522463
88	0.9707849905	0.1421088839
89	0.9712967184	0.1412952597
90	0.9716037551	0.140543712
91	0.9717619255	0.1397941173
92	0.9723480866	0.1390252843
93	0.971920096	0.138358324
94	0.9714269764	0.1376256147
95	0.9717712297	0.1369007356
96	0.9716502758	0.1362164282
97	0.9717154049	0.1354610424
98	0.9723573907	0.1347158371
99	0.9727295565	0.133598306
100	0.9730645056	0.1326413935
101	0.9728505103	0.1317397621
102	0.9730645056	0.1311156318
103	0.9730645056	0.1305253686
104	0.9734645838	0.1299501387
105	0.9733436299	0.1294501352
106	0.9738925743	0.1287382495
107	0.9744136064	0.1279261174
108	0.9743856939	0.1273814568
109	0.9746648182	0.1268415663
110	0.9752695875	0.1263261169
111	0.975492887	0.1257628873
112	0.9758557485	0.1252034969
113	0.97594879	0.1245733776
114	0.9766745131	0.1238630692
115	0.976860596	0.1232616998
116	0.9766838173	0.1227217488
117	0.9765907758	0.1224016166
118	0.9767489463	0.1220566377
119	0.9771769369	0.1215653918
120	0.9777910103	0.1209457831
121	0.9775211902	0.1204026032
122	0.977707273	0.1199505113
123	0.9785353418	0.1193091266
124	0.9787772495	0.1186344293
125	0.9787772495	0.1180772693
126	0.9788702909	0.1172568046
127	0.9788144661	0.1167060079
128	0.9791494152	0.1160675423
129	0.9795122768	0.1155588126
130	0.9800053964	0.1148037943
131	0.9799402674	0.1141545468
132	0.9804612994	0.1134141863
133	0.9809172024	0.112844934
134	0.9809823314	0.1123465053
135	0.9811032853	0.1122090406
136	0.9812242391	0.1116883225
137	0.9814382344	0.1112584319
138	0.9814382344	0.1107827169
139	0.9815312759	0.110442455
140	0.9817452711	0.1098011936
141	0.981866225	0.1096289586
142	0.9823500404	0.1095142818
143	0.9825640357	0.10904314
144	0.9823500404	0.1084331064
145	0.9823500404	0.1079697885
146	0.9825640357	0.1075900932
147	0.982778031	0.1071595324
148	0.9828989849	0.1064483278
149	0.9833921045	0.1057848097
150	0.9834572335	0.1052570482
151	0.9838293992	0.1047835827
152	0.9841364359	0.1046524906
153	0.9842294774	0.1040437236
154	0.9845365141	0.1039020265
155	0.9847225969	0.1033748023
156	0.9846574679	0.1028985243
157	0.9847505094	0.1022937911
158	0.9849645047	0.1021998728
159	0.9850575461	0.1015709486
160	0.9850575461	0.1014783619
161	0.9850575461	0.1013090098
162	0.9851785	0.1009735421
163	0.9852715414	0.100724337
164	0.9855506657	0.1001544599
165	0.9855506657	0.0997079386
166	0.9858856148	0.09954197136
167	0.9862577806	0.09903530685
168	0.9864717759	0.09880480242
169	0.9867509002	0.09828075406
170	0.9867509002	0.09775090918
171	0.986871854	0.09717478368
172	0.9871788907	0.09697170234
173	0.9870858493	0.09625877932
174	0.9871788907	0.0961798791
175	0.9871788907	0.09563672724
176	0.9872719322	0.09530316257
177	0.9872719322	0.09522159875
178	0.987458015	0.09469760027
179	0.9880162636	0.09418089391
180	0.9881372175	0.09390697332
181	0.9882302589	0.09333677359
182	0.9882302589	0.09264266895
183	0.9885372956	0.09226251719
184	0.9887233785	0.09181072991
185	0.9888164199	0.09121469384
186	0.9890025028	0.09039280711
187	0.9890025028	0.08981070231
188	0.9890025028	0.08970802995
189	0.989402581	0.08891358313
190	0.989402581	0.08879657106
191	0.9891885857	0.08833980177
192	0.9892816271	0.08780007108
193	0.9892816271	0.08771917777
194	0.989402581	0.08760012415
195	0.9895235348	0.08721367001
196	0.9895235348	0.0867452446
197	0.9899794378	0.08637028326
198	0.9898305715	0.0858764572
199	0.9900724793	0.08526774252
200	0.9900724793	0.08518867527
201	0.9900724793	0.0847623351
202	0.9900724793	0.08470149762
203	0.9901376083	0.08433337218
204	0.9900166544	0.08414605459
205	0.9901096958	0.08404459864
206	0.9903236911	0.08367003946
207	0.990509774	0.08295548653
208	0.990509774	0.08283491079
209	0.990509774	0.08264564418
210	0.990509774	0.08230663189
211	0.9904167326	0.08158963422
212	0.9906586403	0.08155058958
213	0.9908726356	0.08114667206
214	0.9907795941	0.08108382419
215	0.9910587184	0.08065232343
216	0.9910587184	0.08058492131
217	0.9910587184	0.08054707109
218	0.9911517599	0.08012204892
219	0.9911517599	0.07969811029
220	0.9911517599	0.07964603453
221	0.9911517599	0.07944336169
222	0.9914308842	0.07894770091
223	0.9914308842	0.07862658871
224	0.991551838	0.07816396248
225	0.991551838	0.07812346615
226	0.9916448795	0.07773357736
227	0.9917379209	0.07734883552
228	0.9919798286	0.07706445737
229	0.9919798286	0.07700676788
230	0.9919798286	0.07695094121
231	0.99207287	0.0769088712
232	0.9921659115	0.07664283498
233	0.9921659115	0.07625805414
234	0.9922589529	0.07587670319
235	0.9922589529	0.07564172053
236	0.9922589529	0.07554328379
237	0.9924450358	0.07534255639
238	0.9924450358	0.07501345918
239	0.9925659896	0.07458685907
240	0.9926590311	0.07444185477
241	0.9928730264	0.07403911996
242	0.9928451139	0.07371512965
243	0.9928451139	0.07343664388
244	0.9928451139	0.07338659759
245	0.9928730264	0.0730522122
246	0.9928451139	0.07271380843
247	0.9929939802	0.07225879141
248	0.9930870216	0.07197114895
249	0.9930870216	0.07191517403
250	0.9933010169	0.071574769
251	0.9933010169	0.07150174844
252	0.9933940584	0.07130310117
253	0.9934870998	0.07108191002
254	0.9936731827	0.07079021091
255	0.9937010951	0.07043076916
256	0.9937941365	0.07025310992
257	0.993887178	0.07021655608
258	0.9940081318	0.06990485561
259	0.9940081318	0.06980086925
260	0.9938220489	0.06935903128
261	0.9941011732	0.06915613708
262	0.9941942147	0.06907948543
263	0.9942872561	0.06894206802
264	0.9941942147	0.06848980084
265	0.9943802975	0.06842972848
266	0.9943802975	0.06840601185
267	0.994473339	0.0683391732
268	0.9945663804	0.06806579638
269	0.9946594218	0.06772932001
270	0.9946594218	0.06767041659
271	0.9947803757	0.06737483787
272	0.9947803757	0.06734814898
273	0.9949664586	0.06698966775
274	0.9948455047	0.06662961036
275	0.9948455047	0.06660832452
276	0.9948455047	0.0662014919
277	0.9952455829	0.06594250823
278	0.9950315876	0.06569869356
279	0.9950315876	0.06568197472
280	0.9950315876	0.0656396152
281	0.995124629	0.06541292952
282	0.995124629	0.06539696025
283	0.9951525414	0.06511979777
284	0.9951525414	0.0650437705
285	0.9951525414	0.06502843122
286	0.9951525414	0.06460042226
287	0.9952455829	0.06437142977
288	0.9952455829	0.06435625279
289	0.9952455829	0.06434152258
290	0.9952455829	0.06432597968
291	0.9953386243	0.06427689695
292	0.9953386243	0.06424297251
293	0.9953386243	0.06422882621
294	0.9952734953	0.06398540571
295	0.9953386243	0.06373558357
296	0.9953386243	0.06371730716
297	0.995645661	0.06341205531
298	0.995645661	0.063350517
299	0.995645661	0.06333501662
300	0.995645661	0.06332083211
301	0.995645661	0.06297939849
302	0.9957666149	0.06267604586
303	0.9957666149	0.06254142535
304	0.9958875687	0.06252468899
305	0.9958875687	0.06231749913
306	0.9958875687	0.06226924167
307	0.9958875687	0.06221006145
308	0.9958875687	0.0619647288
309	0.9958875687	0.06173850072
310	0.9958875687	0.06172517339
