iter	Passed	Remaining
0	398	79386
1	626	61978
2	858	56385
3	1089	53394
4	1333	51992
5	1562	50536
6	1791	49387
7	2022	48546
8	2260	47974
9	2498	47466
10	2725	46825
11	2951	46234
12	3173	45644
13	3407	45275
14	3649	45011
15	3889	44726
16	4118	44331
17	4347	43961
18	4582	43653
19	4813	43317
20	5044	42999
21	5282	42742
22	5519	42478
23	5756	42217
24	5989	41926
25	6217	41611
26	6445	41301
27	6676	41015
28	6908	40735
29	7132	40415
30	7364	40148
31	7595	39877
32	7832	39637
33	8055	39330
34	8270	38991
35	8498	38716
36	8722	38424
37	8941	38120
38	9164	37830
39	9385	37542
40	9602	37237
41	9821	36948
42	10040	36660
43	10256	36362
44	10477	36087
45	10694	35802
46	10918	35542
47	11133	35255
48	11348	34970
49	11565	34696
50	11781	34421
51	12001	34157
52	12218	33889
53	12435	33621
54	12652	33355
55	12880	33120
56	13101	32869
57	13320	32611
58	13543	32367
59	13765	32120
60	13980	31857
61	14207	31624
62	14429	31379
63	14651	31135
64	14869	30882
65	15088	30633
66	15306	30385
67	15523	30133
68	15747	29896
69	15968	29656
70	16189	29415
71	16418	29189
72	16642	28953
73	16866	28718
74	17085	28475
75	17311	28245
76	17542	28022
77	17759	27777
78	17980	27539
79	18200	27300
80	18420	27062
81	18634	26814
82	18856	26580
83	19079	26348
84	19301	26113
85	19519	25875
86	19738	25637
87	19965	25410
88	20184	25173
89	20407	24942
90	20623	24702
91	20846	24471
92	21065	24236
93	21285	24003
94	21511	23775
95	21730	23540
96	21949	23307
97	22173	23079
98	22396	22849
99	22616	22616
100	22836	22383
101	23072	22167
102	23292	21935
103	23520	21711
104	23737	21476
105	23962	21249
106	24180	21016
107	24415	20798
108	24635	20567
109	24866	20344
110	25106	20130
111	25337	19907
112	25573	19689
113	25812	19472
114	26044	19250
115	26267	19021
116	26502	18800
117	26725	18572
118	26946	18342
119	27167	18111
120	27391	17883
121	27615	17655
122	27835	17425
123	28059	17197
124	28290	16974
125	28507	16742
126	28729	16514
127	28954	16286
128	29176	16058
129	29401	15831
130	29619	15600
131	29846	15375
132	30068	15147
133	30288	14918
134	30508	14689
135	30733	14462
136	30957	14236
137	31175	14006
138	31408	13783
139	31627	13554
140	31846	13325
141	32065	13097
142	32287	12869
143	32504	12640
144	32728	12414
145	32947	12186
146	33168	11958
147	33396	11733
148	33625	11509
149	33845	11281
150	34069	11055
151	34288	10827
152	34512	10601
153	34741	10377
154	34975	10154
155	35202	9928
156	35431	9704
157	35665	9480
158	35912	9260
159	36149	9037
160	36375	8811
161	36618	8589
162	36850	8364
163	37069	8137
164	37290	7910
165	37514	7683
166	37735	7456
167	37965	7231
168	38193	7005
169	38417	6779
170	38636	6552
171	38857	6325
172	39077	6098
173	39299	5872
174	39517	5645
175	39740	5419
176	39958	5192
177	40181	4966
178	40409	4740
179	40629	4514
180	40845	4287
181	41067	4061
182	41284	3835
183	41511	3609
184	41736	3384
185	41960	3158
186	42178	2932
187	42400	2706
188	42622	2480
189	42856	2255
190	43076	2029
191	43298	1804
192	43516	1578
193	43737	1352
194	43955	1127
195	44172	901
196	44396	676
197	44616	450
198	44834	225
199	45056	0
